date,ret_t
2012-08-01,-0.10217600888199518
2012-09-01,2.3583559799535747
2012-10-01,-2.8126964409622355
2012-11-01,-1.8505029503076527
2012-12-01,4.439146143610163
2013-01-01,4.230757910112241
2013-02-01,-4.972176661316592
2013-03-01,-3.8107657012396006
2013-04-01,-4.066770489347908
2013-05-01,-3.119727480928217
2013-06-01,-2.1262619642230334
2013-07-01,2.9293179541882832
2013-08-01,-1.6334290567784833
2013-09-01,6.8080055508884145
2013-10-01,2.984489476607074
2013-11-01,-2.63295907173982
2013-12-01,1.09270563811981
2014-01-01,-3.8612829160872923
2014-02-01,-1.2629301189850446
2014-03-01,-7.1904510361905
2014-04-01,-4.608135367433942
2014-05-01,8.31539509636712
2014-06-01,2.154046309992517
2014-07-01,-7.400135263241351
2014-08-01,1.0299598216553951
2014-09-01,0.4938526914026351
2014-10-01,4.697297860270718
2014-11-01,2.1739022069472873
2014-12-01,-10.632526883543477
