TRADEDATE,consumer,metals_mining,oil_gas,consumer_log_return,metals_mining_log_return,oil_gas_log_return
2013-01-16,5236.59,3039.63,3304.06,0.006442828729554151,0.001096128603657931,-0.005734029882829006
2013-01-17,5227.77,3052.99,3319.29,-0.0016857222206834166,0.004385640796135348,0.004598889336239864
2013-01-18,5289.76,3064.21,3352.2,0.011788075305879886,0.0036683491081195285,0.009865942074641865
2013-01-21,5280.65,3055.08,3346.41,-0.0017236800191380297,-0.0029840085286672036,-0.0017287172837150422
2013-01-22,5266.32,3019.95,3332.28,-0.002717369788259205,-0.011565503901744378,-0.004231375039891461
2013-01-23,5374.8,3023.32,3351.16,0.020389537605531416,0.001115290347550868,0.0056498001691203115
2013-01-24,5337.46,2989.9,3352.19,-0.006971479637655875,-0.011115623278628917,3.0730903447029334e-4
2013-01-25,5370.32,2983.33,3386.16,0.006137612680452875,-0.0021998157276570396,0.010082672399869708
2013-01-28,5450.46,2997.1,3439.53,0.014812511721173038,0.004605028178309212,0.015638298153012542
2013-01-29,5457.72,2954.01,3406.85,0.0013311113443261746,-0.014481585134094033,-0.009546723437503957
2013-01-30,5424.43,2926.04,3392.69,-0.006118295345462599,-0.009513596299331795,-0.004164993652411297
2013-01-31,5456.11,2918.6,3396.21,0.005823256846294811,-0.0025459237929696954,0.0010369869391020359
2013-02-01,5546.15,2917.34,3393.89,0.01636791171960361,-4.318070506474925e-4,-6.83347841793136e-4
2013-02-04,5608.61,2887.29,3363.07,0.01119892365023567,-0.010353896270432372,-0.0091225088610364935
2013-02-05,5608.27,2902.88,3374.34,-6.062291833508482e-5,0.0053850017092873514,0.0033455023552111385
2013-02-06,5572.96,2881.21,3356.59,-0.006315962980876222,-0.0074930028366031465,-0.005274171963099761
2013-02-07,5587.57,2883.94,3348.39,0.0026181567265446404,9.470699648943537e-4,-0.0024459443840676443
2013-02-08,5544,2863.81,3326.13,-0.007828225937817734,-0.007004508652378227,-0.00667016730221448
2013-02-11,5573.03,2855.05,3319.54,0.005222629782384303,-0.0030635500261571025,-0.0019832468840661477
2013-02-12,5614.02,2837.16,3293.37,0.007328148785624933,-0.006285804249940519,-0.007914862479081464
2013-02-13,5686.78,2889.56,3363.44,0.01287714240124238,0.018300689558785166,0.021052903130465594
2013-02-14,5696.8,2858.19,3318.96,0.0017604308289254078,-0.01091568404435872,-0.013312778921017454
2013-02-15,5797.08,2856.74,3310.98,0.017449728818098365,-5.074427967146633e-4,-0.0024072627666669177
2013-02-18,5835.42,2842.6,3311.53,0.006591900078694479,-0.004961988234469139,1.6610016482232481e-4
2013-02-19,5850.95,2856.56,3323.51,0.002657798639244646,0.004898977365073165,0.0036111351306278294
2013-02-20,5768.27,2814.99,3289.65,-0.0142318323485906,-0.014659394500371903,-0.010240277231671868
2013-02-21,5613.92,2750.26,3258.16,-0.027122981124131584,-0.02326325652358996,-0.0096185572821188
2013-02-22,5701.3,2745.67,3271.87,0.0154449912628003,-0.0016703273393847695,0.004199068042488818
2013-02-25,5725.29,2760.46,3288.47,0.004198984167320674,0.005372207183879318,0.00506072411748093
2013-02-26,5651.99,2709.77,3254.01,-0.012885507643707328,-0.018533572067212845,-0.010534329084462613
2013-02-27,5685.22,2710.62,3260.95,0.005862129247166337,3.13630571588952e-4,0.0021304820367351596
2013-02-28,5673.44,2688.26,3239.74,-0.0020741890721946987,-0.008283246839052794,-0.006525484298908424
2013-03-01,5646.59,2656.1,3207.11,-0.0047438125786118945,-0.012035262665872182,-0.010122859579094978
2013-03-04,5608.57,2609.9,3183.52,-0.006756038051072721,-0.01754697508348091,-0.00738271724280537
2013-03-05,5643.16,2644.74,3231.96,0.006148407216814533,0.013260855377532188,0.015101261495837903
2013-03-06,5675.22,2663.92,3254.37,0.0056651368382798495,0.007225960395319753,0.006909944195891526
2013-03-07,5678.94,2649.18,3254.42,6.552664632355487e-4,-0.005548564045902538,1.5363838747006753e-5
2013-03-11,5739.65,2691.13,3282.17,0.010633637263506301,0.01571102160536242,0.008490716631506245
