"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2007","1,665.96","1,570.41","1,703.53","1,555.67","","6.09%"
"05/01/2007","1,570.34","1,697.28","1,707.23","1,485.66","","-6.43%"
"04/01/2007","1,678.27","1,698.09","1,780.54","1,668.65","","-1.17%"
"03/01/2007","1,698.08","1,655.23","1,730.36","1,484.69","","2.59%"
"02/01/2007","1,655.25","1,656.95","1,756.85","1,608.85","","-0.10%"
"01/01/2007","1,656.94","1,692.14","1,695.50","1,528.85","","-2.16%"
"12/01/2006","1,693.47","1,550.70","1,698.44","1,546.42","","9.22%"
"11/01/2006","1,550.58","1,426.87","1,558.83","1,426.86","","8.67%"
"10/01/2006","1,426.86","1,367.27","1,466.82","1,304.65","","4.36%"
"09/01/2006","1,367.24","1,448.72","1,482.21","1,253.38","","-5.62%"
"08/01/2006","1,448.72","1,380.30","1,498.67","1,363.67","","4.96%"
"07/01/2006","1,380.24","1,331.39","1,403.18","1,255.05","","3.67%"
"06/01/2006","1,331.39","1,281.50","1,389.21","1,062.82","","3.89%"
"05/01/2006","1,281.50","1,486.85","1,616.32","1,120.06","","-13.81%"
"04/01/2006","1,486.85","1,299.19","1,519.00","1,297.04","","14.44%"
"03/01/2006","1,299.19","1,320.83","1,367.98","1,205.30","","-1.64%"
"02/01/2006","1,320.83","1,171.44","1,424.62","1,158.12","","12.75%"
"01/01/2006","1,171.44","1,012.31","1,242.08","1,011.00","","15.87%"
"12/01/2005","1,011.00","944.55","1,032.73","944.55","","7.04%"
"11/01/2005","944.55","842.52","954.96","837.81","","12.11%"
"10/01/2005","842.52","892.76","957.16","773.45","","-5.60%"
"09/01/2005","892.50","784.28","900.41","748.46","","13.80%"
"08/01/2005","784.28","700.54","788.52","691.79","","11.94%"
"07/01/2005","700.65","639.98","708.89","639.35","","9.48%"
"06/01/2005","639.98","603.89","642.26","596.98","","5.98%"
"05/01/2005","603.89","593.94","606.54","563.24","","1.69%"
"04/01/2005","593.88","598.05","634.48","586.34","","-0.70%"
"03/01/2005","598.04","635.38","635.83","566.27","","-5.88%"
"02/01/2005","635.38","575.74","635.42","572.47","","10.36%"
"01/01/2005","575.74","552.18","583.62","532.26","","4.26%"
"12/01/2004","552.22","570.76","570.88","483.55","","-3.25%"
"11/01/2004","570.76","632.97","649.49","565.16","","-9.83%"
"10/01/2004","632.97","611.03","710.61","601.67","","3.59%"
"09/01/2004","611.03","549.28","613.56","542.47","","11.24%"
"08/01/2004","549.28","502.81","551.66","488.91","","9.24%"
"07/01/2004","502.81","534.84","560.73","466.39","","-5.99%"
"06/01/2004","534.84","535.40","576.31","486.36","","-0.10%"
"05/01/2004","535.40","561.78","584.69","503.83","","-4.70%"
"04/01/2004","561.78","644.64","688.53","547.72","","-12.85%"
"03/01/2004","644.64","591.09","648.31","579.98","","9.06%"
"02/01/2004","591.09","551.72","592.05","538.16","","7.14%"
"01/01/2004","551.72","514.71","567.98","514.71","","7.19%"
"12/01/2003","514.71","484.73","525.57","467.46","","6.18%"
"11/01/2003","484.73","468.85","508.84","421.88","","3.39%"
"10/01/2003","468.85","515.17","591.32","448.39","","-8.99%"
"09/01/2003","515.17","484.00","520.54","484.00","","6.44%"
"08/01/2003","484.00","430.30","484.50","417.22","","12.48%"
"07/01/2003","430.30","455.44","473.85","386.23","","-5.52%"
"06/01/2003","455.44","421.08","461.88","412.43","","8.16%"
"05/01/2003","421.08","369.77","429.65","369.77","","13.88%"
"04/01/2003","369.77","325.56","386.96","324.50","","13.58%"
"03/01/2003","325.56","341.52","363.37","322.83","","-4.67%"
"02/01/2003","341.52","307.78","341.54","307.78","","10.96%"
"01/01/2003","307.78","319.53","324.89","295.32","","-3.49%"
"12/01/2002","318.91","321.41","326.04","298.80","","-0.78%"
"11/01/2002","321.41","310.74","322.30","301.36","","3.21%"
"10/01/2002","311.41","288.83","311.45","288.83","","7.40%"
"09/01/2002","289.96","287.58","298.60","282.50","","-0.78%"
"08/01/2002","292.23","283.52","307.54","269.55","","3.70%"
"07/01/2002","281.81","306.21","324.24","275.42","","-7.35%"
"06/01/2002","304.18","333.75","338.84","290.47","","-8.82%"
"05/01/2002","333.61","340.72","355.39","328.81","","-2.83%"
"04/01/2002","343.33","302.20","347.82","293.08","","13.33%"
"03/01/2002","302.96","270.04","302.96","270.04","","15.35%"
"02/01/2002","262.65","262.13","269.87","250.71","","0.72%"
"01/01/2002","260.77","246.79","273.74","246.79","","10.38%"
"12/01/2001","236.24","212.41","236.24","212.41","","10.74%"
"11/01/2001","213.32","188.78","220.87","188.78","","13.83%"
"10/01/2001","187.41","168.19","187.41","158.34","","12.00%"
"09/01/2001","167.33","197.69","199.74","165.44","","-13.62%"
"08/01/2001","193.72","198.78","200.87","185.92","","-3.45%"
"07/01/2001","200.64","217.90","221.39","199.35","","-8.55%"
"06/01/2001","219.40","210.96","231.04","210.96","","5.63%"
"05/01/2001","207.71","182.37","207.71","181.10","","17.15%"
"04/01/2001","177.31","164.38","177.31","156.29","","6.38%"
"03/01/2001","166.67","155.42","172.00","155.42","","5.42%"
"02/01/2001","158.10","165.61","183.51","158.10","","-5.75%"
"01/01/2001","167.74","135.73","176.92","135.73","","16.17%"
"12/01/2000","144.39","142.47","161.25","130.96","","-3.64%"
