date,stock_market_return
2009-08-01,3.34
2009-09-01,4.09
2009-10-01,-2.53
2009-11-01,5.63
2009-12-01,2.81
2010-01-01,-3.35
2010-02-01,3.39
2010-03-01,6.31
2010-04-01,2.00
2010-05-01,-7.89
2010-06-01,-5.55
2010-07-01,6.93
2010-08-01,-4.77
2010-09-01,9.56
2010-10-01,3.88
2010-11-01,0.60
2010-12-01,6.83
2011-01-01,1.99
2011-02-01,3.49
2011-03-01,0.46
2011-04-01,2.90
2011-05-01,-1.27
2011-06-01,-1.74
2011-07-01,-2.35
2011-08-01,-5.95
2011-09-01,-7.58
2011-10-01,11.33
2011-11-01,-0.27
2011-12-01,0.75
2012-01-01,5.05
2012-02-01,4.42
2012-03-01,3.12
2012-04-01,-0.85
2012-05-01,-6.16
2012-06-01,3.89
2012-07-01,0.79
2012-08-01,2.55
2012-09-01,2.74
2012-10-01,-1.75
2012-11-01,0.79
2012-12-01,1.19
2013-01-01,5.57
2013-02-01,1.28
2013-03-01,4.04
2013-04-01,1.56
2013-05-01,2.80
2013-06-01,-1.20
2013-07-01,5.65
2013-08-01,-2.71
2013-09-01,3.77
2013-10-01,4.17
2013-11-01,3.11
2013-12-01,2.81
2014-01-01,-3.32
2014-02-01,4.66
2014-03-01,0.43
2014-04-01,-0.18
2014-05-01,2.05
2014-06-01,2.60
2014-07-01,-2.03
2014-08-01,4.24
2014-09-01,-1.96
2014-10-01,2.51
2014-11-01,2.56
2014-12-01,-0.05
